Federal School ID,Entity Type,Street Address,Year Round Yes/No,Public Yes/No,Administrator Name,Administrator Phone,Administrator Phone Ext.,Administrator Email,Virtual Instruction Type,School,Street City
No Data,Special Education Schools (Public),6925 Chabot Rd.,N,Y,No Data,No Data,No Data,No Data,No Data,La Fleche (Rock) Special Center,Oakland
No Data,Special Education Schools (Public),40950 Chapel Way,N,Y,No Data,No Data,No Data,No Data,No Data,Motta (Ronald) Special Center,Fremont
08672,Special Education Schools (Public),313 West Winton Ave.,N,Y,Monica Vaughan,(510) 670-4242,No Data,mvaughan@acoe.org,Not Virtual,Alameda County Special Education,Hayward
No Data,Elementary Schools (Public),No Data,N,Y,No Data,No Data,No Data,No Data,No Data,New Village Community Public Charter East Bay,No Data
No Data,Elementary School (Private),Information Redacted,N,N,Akancsha Mastey,No Data,No Data,ranimastey399@gmail.com,No Data,New Learning Grove Academy,Dublin
No Data,K-12 Schools (Private),Information Redacted,N,N,Ahkayaha Ahayahaza,No Data,No Data,myobgov@gmail.com,No Data,CCYR,Oakland
No Data,Elementary School (Private),Information Redacted,N,N,Nancy Chavez,No Data,No Data,chaveznancy37@gmail.com,No Data,Soli Deo Gloria Christian School,Oakland
10346,State Special Schools,500 Walnut Ave.,N,Y,Shannon Johns,(510) 936-5523,No Data,sjohns@csb-cde.ca.gov,Not Virtual,California School for the Blind,Fremont
10347,State Special Schools,39350 Gallaudet Dr.,N,Y,Sulghi Hong,(510) 344-6097,No Data,shong@csdf-cde.ca.gov,Not Virtual,California School for the Deaf-Fremont,Fremont
No Data,County Community,PO Box 944272,N,Y,No Data,No Data,No Data,No Data,No Data,"David W. Gordon,Govt. Affairs",Sacramento
No Data,High Schools (Public),4610 Foothill Blvd.,N,Y,Dennis Chaconas,No Data,No Data,debra.srephens@secmail.ousd.k12.ca.us,No Data,College Preparatory & Architecture Academy,Oakland
10547,Alternative Schools of Choice,555 Ralph Appezzato Memorial Pkwy.,N,Y,Tracy Corbally,(510) 748-4021,No Data,tcorbally@alamedaunified.org,Not Virtual,Alameda Science and Technology Institute,Alameda
11549,Elementary Schools (Public),351 Jack London Ave.,N,Y,Juan Flores,(510) 748-4006,06700,jflores@alamedaunified.org,Not Virtual,Ruby Bridges Elementary,Alameda
12399,K-12 Schools (Public),1900 Third St.,N,Y,Annalisa Moore,No Data,No Data,annalisa.moore@clcschools.org,Not Virtual,Nea Community Learning Center,Alameda
00042,Elementary Schools (Public),401 Pacific Ave.,N,Y,Christine Chilcott,(510) 748-4017,No Data,cchilcott@aoaschools.org,Not Virtual,The Academy of Alameda,Alameda
13107,Alternative Schools of Choice,825 Taylor St.,N,Y,Judith Goodwin,(510) 748-4007,No Data,jgoodwin@alamedaunified.org,Not Virtual,Maya Lin,Alameda
13712,Intermediate/Middle Schools (Public),210 Central Ave.,N,Y,Kirsten Zazo,(510) 748-4023,No Data,kzazo@alameda.k12.ca.us,Not Virtual,Encinal Junior Jets,Alameda
13205,Adult Education Centers,2201 Encinal Ave.,N,Y,Joy Chua,(510) 522-3858,No Data,jchua@alamedaunified.org,Not Virtual,Alameda Adult,Alameda
00041,High Schools (Public),2200 Central Ave.,N,Y,Robert Ithurburn,(510) 337-7022,No Data,rithurburn@alamedaunified.org,Not Virtual,Alameda High,Alameda
No Data,Alternative Schools of Choice,2437 Eagle Ave.,N,Y,Betty Ruark,No Data,No Data,No Data,No Data,Alameda City Unified Alternative Educ.,Alameda
08673,K-12 Schools (Public),1900 Third St.,N,Y,Annalisa Moore,No Data,No Data,annalisa.moore@clcschools.org,Not Virtual,Alameda Community Learning Center,Alameda
13871,Elementary Schools (Public),401 Pacific Ave.,Y,Y,Christine Chilcott,(510) 748-4017,No Data,cchilcott@aoaschools.org,Not Virtual,The Academy of Alameda Elementary,Alameda
00045,K-12 Schools (Public),210 Central Ave.,N,Y,Kirstin Snyder,(510) 748-4023,No Data,ksnyder@alamedaunified.org,Not Virtual,Encinal Junior/Senior High,Alameda
00045,High Schools (Public),210 Central Ave.,N,Y,Kirsten Zazo,(510) 748-4023,No Data,kzazo@alameda.k12.ca.us,Not Virtual,Encinal High,Alameda
00048,Continuation High Schools,500 Pacific Ave.,N,Y,Ben Washofsky,(510) 748-4024,101,bwashofsky@alamedaunified.org,Not Virtual,Island High (Continuation),Alameda
14340,Preschool,2060 Challenger Dr.,N,Y,Randhir Bains,(510) 337-7000,77098,rbains@alamedaunified.org,Not Virtual,Alameda Unified Special Education,Alameda
13107,Elementary Schools (Public),825 Taylor Ave.,N,Y,Karen Ringewald,(510) 748-4007,No Data,kringewald@alamedaunified.org,Not Virtual,Maya Lin,Alameda
00042,Intermediate/Middle Schools (Public),401 Pacific Ave.,N,Y,Judith Goodwin,(510) 748-4017,No Data,jgoodwin@alameda.k12.ca.us,No Data,Chipman Middle,Alameda
00051,Elementary Schools (Public),420 Grand St.,N,Y,Cammie Harris,No Data,No Data,charris@alamedaunified.org,Not Virtual,Donald D. Lum Elementary,Alameda
00044,Elementary Schools (Public),2700 Buena Vista Ave.,N,Y,Gregory Sahakian,(510) 748-4002,No Data,gsahakian@alamedaunified.org,Not Virtual,Edison Elementary,Alameda
00054,Elementary Schools (Public),3010 Fillmore St.,N,Y,Brian Dodson,(510) 748-4013,No Data,bdodson@alamedaunified.org,Not Virtual,Frank Otis Elementary,Alameda
04337,Elementary Schools (Public),1433 San Antonio Ave.,N,Y,Lynnette Chirrick,No Data,No Data,lchirrick@alamedaunified.org,Not Virtual,Franklin Elementary,Alameda
00047,Elementary Schools (Public),2025 Santa Clara Ave.,N,Y,Tina Lagdamen,(510) 748-4005,No Data,tlagdamen@alamedaunified.org,Not Virtual,Love Elementary,Alameda
00049,Intermediate/Middle Schools (Public),1250 Fernside Blvd.,N,Y,Sheila SatheWarner,(510) 748-4018,No Data,ssathewarner@alamedaunified.org,Not Virtual,Lincoln Middle,Alameda
00050,Elementary Schools (Public),500 Pacific Ave.,N,Y,Mary Dierking,No Data,No Data,mdierking@alameda.k12.ca.us,No Data,Longfellow Elementary,Alameda
No Data,Elementary Schools (Public),1525 Bay St.,N,Y,No Data,No Data,No Data,No Data,No Data,Mastick Elementary,Alameda
00053,Elementary Schools (Public),250 Singleton Ave.,N,Y,Niel Tam,No Data,No Data,ntam@alameda.k12.ca.us,No Data,George P. Miller Elementary,Alameda
No Data,Elementary Schools (Public),2248 Alameda Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,Porter Elementary,Alameda
00056,Elementary Schools (Public),825 Taylor Ave.,N,Y,Judy Goodwin,(510) 748-4007,No Data,jgoodwin@alameda.k12.ca.us,No Data,Washington Elementary,Alameda
00057,Intermediate/Middle Schools (Public),420 Grand St.,N,Y,Kai Dwyer,(510) 748-4015,No Data,kdwyer@alamedaunified.org,Not Virtual,Will C. Wood Middle,Alameda
00003,Elementary Schools (Public),444 Central Ave.,N,Y,Tri Nguyen,(510) 748-4014,14700,tringuyen@alamedaunified.org,Not Virtual,William G. Paden Elementary,Alameda
00058,Elementary Schools (Public),1900 Third St.,N,Y,Rosalind Davenport,No Data,No Data,rdavenport@alameda.k12.ca.us,No Data,Woodstock Elementary,Alameda
00043,Elementary Schools (Public),400 Packet Landing Rd.,N,Y,Bryan Dunn-Ruiz,(510) 748-4003,03700,bdunnruiz@alamedaunified.org,Not Virtual,Amelia Earhart Elementary,Alameda
No Data,Junior High Schools (Public),400 Grant St.,N,Y,No Data,No Data,No Data,No Data,No Data,Grand Alternative,Alameda
00006,Elementary Schools (Public),200 Aughinbaugh Way,N,Y,Katherine Crawford,(510) 748-4010,No Data,kcrawford@alamedaunified.org,Not Virtual,Bay Farm,Alameda
No Data,High Schools (Private),Information Redacted,N,N,Ramona Mathis,No Data,No Data,No Data,No Data,Williams Academy,Oakland
No Data,High Schools (Private),Information Redacted,N,N,Robin Hom,No Data,No Data,RobinHom@aol.com,No Data,Chinese American Schools - Alameda,Alameda
No Data,Elementary School (Private),Information Redacted,N,N,Darnell Watts,No Data,No Data,thelord763@gmail.com,No Data,Kingdom Builder private school,Oakland
No Data,Elementary School (Private),2226 Encinal Ave. and 1400 6th St.,N,N,Cindy Acker,No Data,No Data,cindy.acker@thechildunique.org,No Data,The Child Unique Montessori School/Montessori Elementary School of Alameda,Alameda
No Data,Elementary School (Private),Information Redacted,N,N,Catherine Cook,No Data,No Data,ourgiftedchildren@yahoo.com,No Data,Da Vinci Center for Gifted Children,Alameda
No Data,Elementary School (Private),Information Redacted,N,N,Patti Cross,No Data,No Data,pcross@leportschools.com,No Data,"LePort Schools, Emeryville",Emeryville
No Data,K-12 Schools (Private),Information Redacted,N,N,Crystal McKinney,No Data,No Data,cryshay1@gmail.com,No Data,McKinney Christian Academy,Alameda
No Data,K-12 Schools (Private),Information Redacted,N,N,Carlos Cortes Perez,No Data,No Data,advancecollegeacademy@gmail.com,No Data,Advance College Academy,Alameda
No Data,High Schools (Private),Information Redacted,N,N,Soyoung Lee,No Data,No Data,syl012@aol.com,No Data,Hensley Academy,Alameda
No Data,Elementary School (Private),1828 Park St.,N,N,Monique Brinson,No Data,No Data,monique@encompass4corners.org,No Data,EnCompass Four Corners School,Alameda
No Data,Elementary School (Private),Information Redacted,N,N,Martin Glasenapp,No Data,No Data,No Data,No Data,Central Christian School,Alameda
No Data,K-12 Schools (Private),Information Redacted,N,N,Frank McCarthy,No Data,No Data,No Data,No Data,Sycamore Tree Academy,Alameda
No Data,Elementary School (Private),1801 North Loop Rd.,N,N,Lisa Lovitt,No Data,No Data,lisalovitt@ccs-rams.org,No Data,Coastline Christian Schools,Alameda
No Data,High Schools (Private),1011 Chestnut St.,N,N,No Data,No Data,No Data,No Data,No Data,Saint Joseph Notre Dame High School,Alameda
No Data,Elementary School (Private),Information Redacted,N,N,Terri Kurczewski,No Data,No Data,No Data,No Data,St. Barnabas Elementary,Alameda
No Data,Elementary School (Private),1910 San Antonio Ave.,N,N,Danielle Colvert,No Data,No Data,dcolvert@csdo.org,No Data,St. Joseph Elementary,Alameda
No Data,Elementary School (Private),Information Redacted,N,N,Adeeshela Hannah-Merriweather,No Data,No Data,No Data,No Data,Alameda Christian School,Alameda
No Data,Elementary School (Private),1335 High St.,N,N,Julie Thomas,No Data,No Data,juthomas@csdo.org,No Data,St. Philip Neri Elementary,Alameda
No Data,Ungraded Schools (Private),1910 Central Ave.,N,N,Allan Chatman,No Data,No Data,achatman@thephillipsacademy.org,No Data,The Phillips Academy,Alameda
No Data,Elementary School (Private),Information Redacted,N,N,Linda Lucas,No Data,No Data,No Data,No Data,Peter Pan Academy,Alameda
No Data,Elementary School (Private),Information Redacted,N,N,Kathleen Hayes,No Data,No Data,No Data,No Data,"Children's Learning Center-Elementary, Site #2",Alameda
13188,Elementary Schools (Public),720 Jackson St.,N,Y,Susan Stevenson,(510) 559-6590,No Data,sstevenson@ausdk12.org,No Data,Albany Children's Center,Albany
13330,Adult Education Centers,603 Key Route Blvd.,N,Y,Alexia Ritchie,No Data,No Data,aritchie@ausdk12.org,Not Virtual,Albany Adult,Albany
07638,Continuation High Schools,603 Key Route Blvd.,N,Y,Daren McNally,(510) 558-3570,2604,dmcnally@ausdk12.org,Not Virtual,MacGregor High (Continuation),Albany
No Data,Adult Education Centers,603 Key Route Blvd.,N,Y,No Data,No Data,No Data,No Data,No Data,Albany Adult,Albany
00059,High Schools (Public),603 Key Route Blvd.,N,Y,Darren McNally,(510) 558-2500,No Data,dmcnally@ausdk12.org,Not Virtual,Albany High,Albany
No Data,Elementary Schools (Public),607 Key Route Blvd.,N,Y,No Data,No Data,No Data,No Data,No Data,Albany Primary,Albany
00061,Elementary Schools (Public),920 Talbot Ave.,N,Y,Catherine Floresca,No Data,No Data,cfloresca@ausdk12.org,Not Virtual,Cornell Elementary,Albany
No Data,Elementary Schools (Public),601 San Gabriel Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,MacGregor Primary,Albany
00060,Intermediate/Middle Schools (Public),1259 Brighton Ave.,N,Y,Eric Mapes,(510) 558-3600,No Data,emapes@ausdk12.org,Not Virtual,Albany Middle,Albany
No Data,Elementary Schools (Public),No Data,N,Y,No Data,No Data,No Data,No Data,No Data,Vista-MacGregor Primary,No Data
00062,Elementary Schools (Public),1001 Santa Fe Ave.,N,Y,Melisa Pfohl,No Data,No Data,mpfohl@ausdk12.org,Not Virtual,Marin Elementary,Albany
07937,Elementary Schools (Public),1000 Jackson St.,N,Y,Ana Delgado,No Data,No Data,adelgado@ausdk12.org,Not Virtual,Ocean View Elementary,Albany
No Data,K-12 Schools (Private),1231 Solano Ave.,N,N,Laurie Kumar,No Data,No Data,lauriek@tildenprep.com,No Data,Tilden Preparatory School,Albany
No Data,Kindergartens (Private),Information Redacted,N,N,Maria Fernanda Pulido Duarte (Ellingboe),No Data,No Data,semillasdelsol2020@gmail.com,No Data,Semillas del Sol,Albany
No Data,Elementary School (Private),Information Redacted,N,N,No Data,No Data,No Data,No Data,No Data,BRIGHT STAR MONTESSORI,ALBANY
No Data,Adult Education Centers,4750 First St.,N,Y,No Data,No Data,No Data,No Data,No Data,Amador Valley Adult Education,Pleasanton
No Data,Adult Education Centers,8151 Village Pkwy.,N,Y,No Data,No Data,No Data,No Data,No Data,Amador Valley Adult Education,Dublin
No Data,High Schools (Public),4375 Foothill Rd.,Y,Y,No Data,No Data,No Data,No Data,No Data,Foothill High,Pleasanton
No Data,Continuation High Schools,4750 First St.,Y,Y,No Data,No Data,No Data,No Data,No Data,Village High,Pleasanton
No Data,Alternative Schools of Choice,Ten Neal St.,N,Y,No Data,No Data,No Data,No Data,No Data,Pleasanton Unified Alternative,Pleasanton
No Data,High Schools (Public),1155 Santa Rita Rd.,Y,Y,No Data,No Data,No Data,No Data,No Data,Amador Valley High,Pleasanton
No Data,High Schools (Public),8151 Village Pkwy.,N,Y,No Data,No Data,No Data,No Data,No Data,Dublin High,Dublin
No Data,Continuation High Schools,7001 Brighton Dr.,N,Y,No Data,No Data,No Data,No Data,No Data,Valley High,Dublin
No Data,High Schools (Private),1940 Virginia St.,N,N,Donna Austin,No Data,No Data,austin@bayhillhs.org,No Data,Bayhill High,Berkeley
12792,Intermediate/Middle Schools (Public),1222 University Ave.,N,Y,Anthony Rodgers,(510) 665-8300,No Data,trodgers@realmcharterschool.org,Not Virtual,REALM Charter Middle,Berkeley
12715,High Schools (Public),2023 Eighth St.,N,Y,Victor Diaz,(510) 809-9800,No Data,victor@realmcharterschool.org,Not Virtual,REALM Charter High,Berkeley
12843,Preschool,2134 Martin Luther King Jr. Way,N,Y,Shawn Mansager,(510) 644-6210,No Data,shawnmansager@berkeley.net,Not Virtual,Berkeley Special Education Preschool,Berkeley
13623,Adult Education Centers,1701 San Pablo Ave.,N,Y,Thomas Reid,(510) 644-6130,No Data,thomasreid@berkeley.net,Not Virtual,Berkeley Adult,Berkeley
00432,High Schools (Public),1980 Allston Way,N,Y,Juan Raygoza,(510) 644-4803,No Data,juanraygoza@berkeley.net,Not Virtual,Berkeley High,Berkeley
No Data,High Schools (Public),1222 University Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,"West Campus, Berkeley High",Berkeley
No Data,High Schools (Private),Information Redacted,N,N,Shelley Lobell,(510) 984-0599,No Data,lobell@bayhills.org,No Data,Bayhill High - Bay Area Educational Institute,Berkeley
11300,Continuation High Schools,2701 Martin Luther King Jr. Way,N,Y,Heidi Weber,(510) 644-6159,No Data,heidiweber@berkeley.net,Not Virtual,Berkeley Technology Academy,Berkeley
14246,K-12 Schools (Public),2023 Eighth St.,N,Y,Victor Diaz,(510) 665-8300,No Data,victor@realmcharterschool.org,Not Virtual,REALM Charter,Berkeley
14650,Alternative Schools of Choice,2701 Martin Luther King Jr Way,N,Y,Heidi Weber,(510) 644-6159,No Data,heidiweber@berkeley.net,Primarily Classroom,Berkeley Independent Study K-8,Berkeley
00443,Intermediate/Middle Schools (Public),1781 Rose St.,N,Y,Michael Tison Yee,(510) 644-6280,No Data,michaeltisonyee@berkeley.net,Not Virtual,Martin Luther King Middle,Berkeley
07267,Intermediate/Middle Schools (Public),2425 Stuart St.,N,Y,Alexander Billotte,(510) 644-6330,No Data,alexanderbillotte@berkeley.net,Not Virtual,Willard Middle,Berkeley
No Data,Special Education Schools (Public),1810 Hopkins St.,N,Y,No Data,No Data,No Data,No Data,No Data,King Educational Center,Berkeley
No Data,Elementary Schools (Public),1809 Fairview,N,Y,No Data,No Data,No Data,No Data,No Data,Home Teaching,Berkeley
No Data,Alternative Schools of Choice,Bungalow B,N,Y,No Data,No Data,No Data,No Data,No Data,Pregnant Minors Program,Berkeley
06865,Elementary Schools (Public),920 Allston Way,N,Y,Susanne Reed,No Data,No Data,susannereed@berkeley.net,Not Virtual,Rosa Parks Environmental Science,Berkeley
06895,Elementary Schools (Public),830 Regal Rd.,N,Y,Candyce Cannon,(510) 644-8810,No Data,candycecannon@berkeley.net,Not Virtual,Cragmont Elementary,Berkeley
No Data,Elementary Schools (Public),499 Spruce St.,N,Y,No Data,No Data,No Data,No Data,No Data,Tilden Primary,Berkeley
00436,Elementary Schools (Public),2800 Forest Ave.,N,Y,Jana Holmes,No Data,No Data,janaholmes@berkeley.net,Not Virtual,Emerson Elementary,Berkeley
07938,Elementary Schools (Public),1150 Virginia St.,N,Y,Beverly Smith-Miller,No Data,No Data,No Data,No Data,Franklin Elementary,Berkeley
No Data,Elementary Schools (Public),1581 Leroy Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,Hillside Primary,Berkeley
No Data,Elementary Schools (Public),40 Whitaker Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,Grizzly Peak Primary,Berkeley
00441,Elementary Schools (Public),1400 Ada St.,N,Y,Mary Cazden,(510) 644-6298,No Data,marycazden@berkeley.net,Not Virtual,Ruth Acty Elementary,Berkeley
No Data,Elementary Schools (Public),2955 Claremont Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,Muir Model School,Berkeley
00445,Elementary Schools (Public),2840 Ellsworth St.,N,Y,Maria Carriedo,(510) 644-6209,No Data,mariacarriedo@berkeley.net,Not Virtual,Sylvia Mendez Elementary,Berkeley
00447,Elementary Schools (Public),1731 Prince St.,N,Y,Alex Hunt,(510) 644-6313,No Data,alexhunt@berkeley.net,Not Virtual,Malcolm X Elementary,Berkeley
00446,Intermediate/Middle Schools (Public),1500 Derby St.,N,Y,Salita Mitchell,No Data,No Data,salitamitchell@berkeley.net,Not Virtual,Longfellow Arts and Technology Middle,Berkeley
00448,Elementary Schools (Public),1222 University Ave.,N,Y,Elizabeth Cornwell,(510) 644-6300,No Data,elizabethcornwell@berkeley.net,Not Virtual,Oxford Elementary at West Campus,Berkeley
00450,Elementary Schools (Public),840 Colusa Ave.,N,Y,Gabriel Fredman,(510) 644-6368,No Data,gabrielfredman@berkeley.net,Not Virtual,Thousand Oaks Elementary,Berkeley
00452,Elementary Schools (Public),2300 Martin Luther King Jr. Way,N,Y,Joshua Heideman,(510) 644-6310,No Data,joshuaheideman@berkeley.net,Not Virtual,Washington Elementary,Berkeley
No Data,Elementary Schools (Public),1645 Milvia St.,N,Y,No Data,No Data,No Data,No Data,No Data,Whittier Primary,Berkeley
No Data,High Schools (Public),830 Regal Rd.,N,Y,No Data,No Data,No Data,No Data,No Data,Kilimanjaro,Berkeley
00431,Elementary Schools (Public),1645 Milvia St.,N,Y,Rene Molina,(510) 644-6225,No Data,renemolina@berkeley.net,Not Virtual,Berkeley Arts Magnet at Whittier,Berkeley
No Data,Junior High Schools (Public),2425 Stuart St.,N,Y,No Data,No Data,No Data,No Data,No Data,Berkeley Alternative Jr. High,Berkeley
08119,Elementary Schools (Public),2955 Claremont Ave.,N,Y,Jeremy Furlan,No Data,No Data,jeremyfurlan@berkeley.net,Not Virtual,John Muir Elementary,Berkeley
No Data,Elementary School (Private),1035 Grayson St.,N,N,Cindy Dickeson,(510) 848-4800,301,Cindy@CEID.org,No Data,Center for Early Intervention on Deafness (CEID),Berkeley
No Data,K-12 Schools (Private),Information Redacted,N,N,Krizten Delossantos,No Data,No Data,krizten.delossantos@gmail.com,No Data,West Wind Academy,Oakland
No Data,Elementary School (Private),3339 Martin Luther King Jr. Way,N,N,Ernest Mahr,No Data,No Data,office@AIMmontessori.com,No Data,American International Montessori School,Berkeley
No Data,K-12 Schools (Private),"811 University Ave, Ste. 100",N,N,Daniel Wright,No Data,No Data,dwright@fusionacademy.com,No Data,Fusion Academy Berkeley,Berkeley
No Data,Elementary School (Private),Information Redacted,N,N,Deron Marvin,No Data,No Data,deron.marvin@shurenschool.org,No Data,Shu Ren International School,Berkeley
No Data,Elementary School (Private),Information Redacted,N,N,LaTarsha McCoy,No Data,No Data,No Data,No Data,T 4 Kids School,Berkeley
No Data,Elementary School (Private),Information Redacted,N,N,Dana Rosenberg,No Data,No Data,danar@ebsfb.org,No Data,East Bay School for Boys,Berkeley
No Data,Elementary School (Private),2515 Hillegass Ave.,N,N,Rachael Flug,No Data,No Data,rachael@berkeleyrose.org,No Data,Berkeley Rose Waldorf School,Berkeley
No Data,Elementary School (Private),Information Redacted,N,N,Bruce Schoup,No Data,No Data,bruce@archwayschool.org,No Data,WoodsEdge Inc. DBA: Archway School,Berkeley
No Data,High Schools (Private),1918 Bonita Ave,N,N,John Muster,No Data,No Data,JohnMuster@MentoringAcademy.org,No Data,Mentoring Academy,Berkeley
No Data,Elementary School (Private),Information Redacted,N,N,LeAnne Brooks,No Data,No Data,leanne@quantumcamp.com,No Data,Quantum Camp,Berkeley
No Data,K-12 Schools (Private),Information Redacted,N,N,Jan Sturmann,No Data,No Data,janstur@hotmail.com,No Data,Torin's School,Berkeley
No Data,K-12 Schools (Private),Information Redacted,N,N,Marcella Wasson,No Data,No Data,marwellmethod@gmail.com,No Data,MarWell,Information Redacted
No Data,Elementary School (Private),1009 Heinz Ave.,N,N,No Data,No Data,No Data,No Data,No Data,Ecole Bilingue De Berkeley,Berkeley
No Data,Kindergartens (Private),Information Redacted,N,N,No Data,No Data,No Data,No Data,No Data,Montessori Family School,Berkeley
